t,px,py,pz,qw,qx,qy,qz
2.416667,0.135309,0.462945,0.037149,0.816794,0.271523,0.501733,0.085946
2.425,0.135841,0.462,0.032978,0.816606,0.269728,0.503299,0.084212
2.433333,0.136191,0.461032,0.028837,0.817609,0.268779,0.502336,0.083253
2.441667,0.136756,0.460079,0.024786,0.817546,0.267001,0.503642,0.081694
2.45,0.137351,0.459141,0.020832,0.817472,0.264736,0.505201,0.080173
2.458333,0.137952,0.458211,0.016949,0.817412,0.263083,0.5064,0.078643
2.466667,0.138802,0.457342,0.013252,0.816099,0.260993,0.509913,0.076509
2.475,0.139441,0.456483,0.009583,0.816018,0.259526,0.510995,0.075131
2.483333,0.140086,0.455676,0.005981,0.815624,0.258919,0.512046,0.07435
2.491667,0.140678,0.454863,0.00247,0.815866,0.257638,0.512429,0.073494
2.5,0.141365,0.454131,-0.000848,0.815254,0.256541,0.514161,0.072013
2.508333,0.141983,0.453391,-0.004121,0.814951,0.255329,0.515386,0.070986
2.516667,0.142548,0.452657,-0.007349,0.815136,0.254313,0.515682,0.070361
2.525,0.143168,0.451955,-0.010436,0.814668,0.253308,0.517034,0.069477
2.533333,0.143763,0.451262,-0.013433,0.814346,0.252384,0.518116,0.068547
2.541667,0.144378,0.450543,-0.01635,0.813878,0.251366,0.519458,0.067683
2.55,0.144996,0.449821,-0.019207,0.813437,0.250403,0.520727,0.066807
2.558333,0.145642,0.449108,-0.022026,0.81317,0.249443,0.52172,0.065885
2.566667,0.146321,0.44841,-0.024789,0.812752,0.248502,0.522931,0.064992
2.575,0.147005,0.447721,-0.027514,0.812326,0.247451,0.524203,0.064074
2.583333,0.1477,0.447032,-0.030224,0.812221,0.246223,0.525066,0.063063
2.591667,0.148446,0.446373,-0.032893,0.811839,0.245076,0.526319,0.062
2.6,0.149221,0.445738,-0.035537,0.811791,0.243876,0.527063,0.061025
2.608333,0.150039,0.44515,-0.038128,0.811557,0.242858,0.528014,0.059971
2.616667,0.151083,0.444654,-0.040464,0.809785,0.242351,0.531149,0.058269
2.625,0.151833,0.444074,-0.043102,0.811316,0.240972,0.529483,0.057848
2.633333,0.152809,0.44358,-0.045508,0.811205,0.240076,0.530174,0.05679
2.641667,0.154008,0.443197,-0.047676,0.809699,0.239985,0.532693,0.055075
2.65,0.155088,0.442799,-0.049958,0.809671,0.239501,0.533059,0.054041
2.658333,0.15631,0.442505,-0.052286,0.807511,0.24007,0.53608,0.053951
2.666667,0.15736,0.442067,-0.054383,0.80941,0.23912,0.533789,0.052411
2.675,0.158368,0.441664,-0.056703,0.810763,0.238044,0.532248,0.052053
2.683333,0.159771,0.441405,-0.058637,0.809195,0.238246,0.534699,0.050379
2.691667,0.161002,0.441099,-0.060734,0.809367,0.237989,0.534642,0.04944
2.7,0.162249,0.440803,-0.062826,0.809557,0.23759,0.534617,0.048511
2.708333,0.163525,0.440534,-0.064891,0.809739,0.237177,0.534608,0.047572
2.716667,0.164819,0.44029,-0.066939,0.810039,0.23671,0.534444,0.04665
2.725,0.166144,0.44009,-0.068951,0.810059,0.236196,0.534716,0.045772
2.733333,0.167488,0.439914,-0.070934,0.810462,0.235921,0.534311,0.044777
2.741667,0.168673,0.439652,-0.073039,0.811001,0.23553,0.533674,0.044655
2.75,0.170213,0.439646,-0.074782,0.81113,0.235374,0.533686,0.042967
2.758333,0.171616,0.439563,-0.076634,0.81131,0.235053,0.533626,0.042056
2.766667,0.173027,0.439508,-0.078435,0.811559,0.234907,0.533384,0.04114
2.775,0.174451,0.439479,-0.080193,0.811816,0.234856,0.533087,0.040192
2.783333,0.175873,0.439474,-0.081911,0.812245,0.23491,0.532481,0.039223
2.791667,0.177293,0.439523,-0.083586,0.812429,0.234947,0.532245,0.038401
2.8,0.178728,0.439574,-0.085215,0.812668,0.235035,0.531898,0.0376
2.808333,0.180142,0.439672,-0.086815,0.813286,0.235116,0.530978,0.036732
2.816667,0.181325,0.439695,-0.088574,0.814649,0.235526,0.528688,0.036921
2.825,0.182797,0.439775,-0.09001,0.814906,0.233975,0.528993,0.036759
2.833333,0.18437,0.439964,-0.091249,0.813657,0.235499,0.530329,0.035405
2.841667,0.185729,0.440071,-0.092695,0.814111,0.235215,0.529757,0.035421
2.85,0.187143,0.440199,-0.09406,0.814289,0.235306,0.529455,0.035254
2.858333,0.188493,0.44033,-0.095516,0.815154,0.23526,0.528156,0.03505
2.866667,0.189887,0.440468,-0.096849,0.815538,0.235276,0.527573,0.034794
2.875,0.191132,0.440582,-0.098343,0.817309,0.234039,0.525371,0.034871
2.883333,0.192505,0.440749,-0.099615,0.81817,0.234246,0.523986,0.034127
2.891667,0.193952,0.440907,-0.100873,0.81801,0.234012,0.52433,0.034284
2.9,0.195376,0.441098,-0.102056,0.818164,0.23377,0.524221,0.033936
2.908333,0.196818,0.441342,-0.103264,0.818599,0.234723,0.523121,0.033849
2.916667,0.198238,0.441538,-0.104283,0.819121,0.233817,0.522758,0.033085
2.925,0.199691,0.441803,-0.10531,0.819461,0.233882,0.522213,0.032829
2.933333,0.201166,0.442095,-0.106277,0.81979,0.233934,0.521701,0.032344
2.941667,0.202697,0.44244,-0.107241,0.820239,0.235204,0.520433,0.0322
2.95,0.204206,0.442819,-0.108066,0.820525,0.235311,0.519948,0.031964
2.958333,0.205777,0.443238,-0.108874,0.820794,0.235371,0.519528,0.031441
2.966667,0.207315,0.443677,-0.109581,0.821038,0.236112,0.518801,0.031525
2.975,0.208904,0.444136,-0.110249,0.821501,0.236711,0.517811,0.03124
